Class,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,lbp0,lbp1,lbp2,lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9
AU,15606,5,3,2,4,7,150,24,7,68,8770,4669,1538,533,228,77,36,14,9,2,6132,5333,2394,1194,526,204,62,17,5,9,0.39376770536012645,0.07648725212031234,0.029461756372268454,0.08668555240302064,0.12747875353385388,0.006232294617210634,0.08838526911680536,0.1303116147234951,0.053824362603182754,0.007365439093067114
AU,14919,157,169,42,93,52,272,35,23,114,14212,1275,240,70,38,22,7,6,4,2,7280,4532,2006,959,521,284,182,82,22,8,0.402201100530155,0.13306653325997667,0.028514257127137854,0.04902451225367561,0.09404702350705117,0.026013006501950323,0.059029514754425735,0.1465732866359893,0.043021510753225536,0.01850925462638773
AU,15860,0,0,0,0,0,0,0,0,16,8046,5379,1642,521,185,73,19,9,0,2,4106,5931,3438,1545,564,185,58,32,9,8,0.366649924642559,0.10396785534384892,0.03867403314722883,0.10949271722202447,0.08940231039229521,0.003013561024459389,0.07533902561148473,0.15218483173519914,0.04721245604986376,0.014063284780810483
AU,14909,124,151,30,78,64,332,28,31,129,11265,3261,852,285,103,53,33,14,7,3,6503,4880,2437,1188,553,206,71,21,7,10,0.439841089645866,0.10215664017581404,0.033484676502072375,0.05902383654602589,0.10783200907447037,0.01759364358583464,0.07945516458118869,0.1066969352947391,0.03859250851086308,0.015323496026372105
AU,15850,0,0,0,0,0,12,12,0,2,7044,5551,2037,768,291,118,41,19,3,4,3630,5599,3596,1824,728,306,112,52,18,11,0.3428295509250203,0.10478029936722452,0.03524867213736124,0.09319169482891397,0.08884596812704752,0.004828585224296061,0.07725736358873697,0.18493481409053913,0.05263157894482706,0.015451472717747395
AU,15704,0,0,0,0,0,86,27,0,59,8091,4468,1780,803,408,196,66,46,11,7,3355,5076,3370,2127,1067,521,242,89,21,8,0.3778350515269157,0.09072164947985971,0.038144329894941015,0.10103092782984376,0.05618556700741311,0.006701030927489637,0.08711340205736529,0.15051546390976725,0.06340206185240195,0.028350515462456156
AU,15738,0,0,0,0,0,65,26,0,47,8084,4699,1698,756,343,165,79,38,8,6,4266,5361,3180,1768,828,326,105,25,10,7,0.3673469387576605,0.100097181724971,0.03741496598457653,0.07240038872340135,0.06899902817934893,0.008746355684706202,0.08551992225046065,0.16277939746536543,0.0675413022318979,0.029154518949020675
AU,15281,256,110,34,33,16,96,5,11,34,8428,4578,1804,592,242,136,61,22,11,2,5056,5006,2958,1541,752,341,133,62,19,8,0.37635705667211355,0.0995174909469531,0.02895054282093181,0.0705669481260213,0.11037394450480253,0.01990349818939062,0.06996381181725188,0.16405307598528027,0.05548854040678597,0.004825090470155302
AU,15834,0,0,0,0,0,24,4,0,14,8246,4779,1575,688,321,155,72,29,6,5,3869,5422,3332,1825,897,363,124,32,8,4,0.38483965012707294,0.10204081632157237,0.0403304178794786,0.08309037900470893,0.06705539358274755,0.007288629737255169,0.08406219630300962,0.1516034985349075,0.053935860055688255,0.025753158404968265
AU,15848,0,0,0,0,0,18,4,0,6,7416,5526,1804,652,297,104,48,17,8,4,3410,5311,3819,2014,888,308,89,24,9,4,0.3540499235683113,0.08863983697969231,0.041263372387098145,0.10290371879251636,0.0855832908769443,0.00560366785503802,0.08813041262923431,0.17269485480526262,0.04381049413938815,0.017320427915572062
